anio,semana,dia,contaminante,max,avg
2014,11,1,ozono,40,16.1583333333333333
2013,11,2,ozono,70,23.4000000000000000
2016,11,6,ozono,41,21.9583333333333333
2015,11,6,ozono,28,15.1083333333333333
2014,11,6,ozono,115,39.8750000000000000
2015,11,2,ozono,44,20.7750000000000000
2015,11,1,ozono,105,28.9916666666666667
2015,11,4,ozono,29,18.2166666666666667
2016,11,1,ozono,203,63.8916666666666667
2016,11,5,ozono,67,28.9166666666666667
2016,11,3,ozono,147,52.8333333333333333
2013,11,4,ozono,74,28.2000000000000000
2014,11,3,ozono,125,35.6583333333333333
2014,11,0,ozono,53,26.8000000000000000
2013,11,6,pm10,68,41.8666666666666667
2013,11,4,pm10,74,62.8000000000000000
2013,11,2,pm10,76,53.2583333333333333
2013,11,1,pm10,73,46.8000000000000000
2013,11,3,pm10,78,56.6750000000000000
2014,11,0,pm10,76,49.2250000000000000
2016,11,2,pm10,113,89.5083333333333333
2016,11,0,pm10,94,60.5166666666666667
2015,11,6,pm10,78,38.0500000000000000
2016,11,4,pm10,111,89.8250000000000000
2015,11,1,pm10,96,69.4333333333333333
2015,11,3,pm10,83,46.5500000000000000
2014,11,5,pm10,81,55.9083333333333333
2014,11,6,pm10,77,56.0750000000000000
2016,11,5,pm10,107,83.6333333333333333
2013,11,5,pm10,63,54.8583333333333333
2013,11,0,pm10,48,27.0000000000000000
2014,11,2,pm10,44,31.2833333333333333
2014,11,1,pm10,41,27.0583333333333333
2016,11,6,pm10,104,65.6833333333333333
2014,11,3,pm10,79,50.5833333333333333
2015,11,5,pm10,94,40.6250000000000000
2016,11,1,pm10,110,83.9166666666666667
2015,11,0,pm10,44,31.2000000000000000
2016,11,3,pm10,115,86.1916666666666667
2015,11,2,pm10,97,72.5000000000000000
2014,11,4,pm10,78,62.5000000000000000
2015,11,4,pm10,44,27.8000000000000000
2014,12,0,dioxido_de_azufre,11,7.0750000000000000
2013,12,1,dioxido_de_azufre,3,2.0666666666666667
2015,12,0,dioxido_de_azufre,5,2.5666666666666667
2013,12,6,dioxido_de_azufre,4,2.4166666666666667
2014,12,2,dioxido_de_azufre,22,6.1583333333333333
2015,12,2,dioxido_de_azufre,9,3.9833333333333333
2015,12,4,dioxido_de_azufre,5,2.9166666666666667
2014,12,1,dioxido_de_azufre,22,6.2916666666666667
2016,12,3,dioxido_de_azufre,26,6.5416666666666667
2013,12,0,dioxido_de_azufre,4,2.3666666666666667
2014,12,5,dioxido_de_azufre,28,8.9416666666666667
2016,12,5,dioxido_de_azufre,3,1.9666666666666667
2014,12,6,dioxido_de_azufre,8,3.6083333333333333
2015,12,5,dioxido_de_azufre,7,4.6500000000000000
2014,12,4,dioxido_de_azufre,28,14.0166666666666667
